==================== Convergence rate ======================
                                                            
 SCF converged in 14 iterations!
                                                            
------------------------------------------------------------
Iter   Orb Error       Property                     Update  
------------------------------------------------------------
  1    7.96890e-02    -7.232611033634046e+01    -7.23261e+01
  2    1.18835e-02    -1.355037351639526e+02    -6.31776e+01
  3    5.60460e-03    -1.358091139074736e+02    -3.05379e-01
  4    1.86578e-03    -1.356570412440171e+02     1.52073e-01
  5    1.91129e-03    -1.356971106053303e+02    -4.00694e-02
  6    4.68319e-04    -1.356738498942355e+02     2.32607e-02
  7    6.94252e-04    -1.356713338721795e+02     2.51602e-03
  8    2.35202e-04    -1.356737551238976e+02    -2.42125e-03
  9    1.52481e-04    -1.356701616541561e+02     3.59347e-03
 10    4.15397e-05    -1.356727404415414e+02    -2.57879e-03
 11    3.71298e-05    -1.356716630500099e+02     1.07739e-03
 12    3.31406e-05    -1.356721992816497e+02    -5.36232e-04
 13    2.31592e-05    -1.356719196462812e+02     2.79635e-04
 14    5.07114e-06    -1.356720857884723e+02    -1.66142e-04
============================================================
                                                            
                                                            
                                                            
==================== Convergence rate ======================
                                                            
 SCF converged in 18 iterations!
                                                            
------------------------------------------------------------
Iter   Orb Error       Property                     Update  
------------------------------------------------------------
  1    5.77516e-01     0.000000000000000e+00     0.00000e+00
  2    2.74577e-01    -2.328854700291832e+00    -2.32885e+00
  3    1.73294e-01    -3.419876330132271e+00    -1.09102e+00
  4    4.91532e-01    -4.013050556512054e+00    -5.93174e-01
  5    4.21619e-01    -5.425502151404128e+00    -1.41245e+00
  6    1.07080e-01    -6.082439312075318e+00    -6.56937e-01
  7    5.46084e-02    -6.188974544694347e+00    -1.06535e-01
  8    3.92278e-02    -6.224044138219718e+00    -3.50696e-02
  9    1.03705e-02    -6.171060973406153e+00     5.29832e-02
 10    5.66147e-03    -6.152016905026215e+00     1.90441e-02
 11    7.13706e-03    -6.153234349889747e+00    -1.21744e-03
 12    1.22726e-03    -6.159847949622741e+00    -6.61360e-03
 13    1.19645e-03    -6.160808974171985e+00    -9.61025e-04
 14    2.06968e-04    -6.162124011851052e+00    -1.31504e-03
 15    3.44585e-04    -6.162011378308065e+00     1.12634e-04
 16    1.00250e-04    -6.161613387008556e+00     3.97991e-04
 17    3.37739e-05    -6.161494638658535e+00     1.18748e-04
 18    1.87196e-05    -6.161452468005598e+00     4.21707e-05
============================================================
