============================================================
                      Convergence rate
------------------------------------------------------------
Iter   Orb Error       Property                     Update  
------------------------------------------------------------
  1    -8.489492045921379e+01    -8.48949e+01
  2    -8.494723981131119e+01    -5.23194e-02
  3    -8.493860479638370e+01     8.63501e-03
  4    -8.495247180795769e+01    -1.38670e-02
  5    -8.495276713177628e+01    -2.95324e-04
  6    -8.495279288708592e+01    -2.57553e-05
  7    -8.495277478293561e+01     1.81042e-05
  8    -8.495278370792758e+01    -8.92499e-06
  9    -8.495278852326386e+01    -4.81534e-06
 10    -8.495279366679527e+01    -5.14353e-06
 11    -8.495279247884989e+01     1.18795e-06
 12    -8.495279170927614e+01     7.69574e-07
 13    -8.495279172251455e+01    -1.32384e-08
 14    -8.495279172273315e+01    -2.18606e-10
 15    -8.495279172276680e+01    -3.36513e-11

============================================================
==================== Convergence rate ======================
Iter   Orb Error       Property                     Update  
------------------------------------------------------------
  1    7.96055e-02    -3.780270587431353e+01    -3.78027e+01
  2    1.91739e-02    -8.486864898197209e+01    -4.70659e+01
  3    1.08080e-02    -8.515656399509507e+01    -2.87915e-01
  4    2.30278e-03    -8.510416000197489e+01     5.24040e-02
  5    2.45269e-03    -8.511911259887862e+01    -1.49526e-02
  6    5.52327e-04    -8.510761611405343e+01     1.14965e-02
  7    2.19501e-04    -8.510596523030689e+01     1.65088e-03
  8    5.23895e-05    -8.510418448207241e+01     1.78075e-03
  9    3.23703e-05    -8.510466432444127e+01    -4.79842e-04
 10    7.47190e-06    -8.510470105762211e+01    -3.67332e-05
 11    1.34503e-05    -8.510483882188218e+01    -1.37764e-04
 12    4.35510e-06    -8.510484916953388e+01    -1.03477e-05
 13    1.12684e-06    -8.510482647103254e+01     2.26985e-05
 14    4.75714e-07    -8.510482262879330e+01     3.84224e-06
 15    2.19588e-07    -8.510482619230189e+01    -3.56351e-06
============================================================

==================== Convergence rate ======================
Iter   Orb Error       Property                     Update  
------------------------------------------------------------
  1    1.03803e-01     0.000000000000000e+00     0.00000e+00
  2    4.75938e-02    -7.876748464006586e-02    -7.87675e-02
  3    2.64397e-02    -1.136071008357037e-01    -3.48396e-02
  4    4.51204e-02    -1.300035754982473e-01    -1.63965e-02
  5    2.23958e-02    -1.530153252836612e-01    -2.30117e-02
  6    6.39528e-03    -1.559935391282995e-01    -2.97821e-03
  7    4.41129e-03    -1.570304117912440e-01    -1.03687e-03
  8    2.43361e-03    -1.576634911318273e-01    -6.33079e-04
  9    1.37773e-03    -1.587085951718522e-01    -1.04510e-03
 10    3.34029e-04    -1.596070344960805e-01    -8.98439e-04
 11    1.06475e-04    -1.598371724245889e-01    -2.30138e-04
 12    4.47012e-05    -1.598761155070429e-01    -3.89431e-05
 13    7.77398e-06    -1.598560325940294e-01     2.00829e-05
 14    2.53513e-06    -1.598531890634839e-01     2.84353e-06
 15    1.62757e-06    -1.598519517468652e-01     1.23732e-06
 16    7.51020e-07    -1.598514252964035e-01     5.26450e-07
 17    4.35557e-07    -1.598513016893391e-01     1.23607e-07
 18    1.35169e-07    -1.598512311675204e-01     7.05218e-08
============================================================
                                                            
